ID,Date,Amount,Vendor,Description,Category,SubCategory,Person,PaymentMode,RecurrenceType,Notes,ImportSessionID
11265,2018-05-12,20000,"Withdrawn from Yes Bank","Withdrawn from Yes Bank","bnk-withdraw","","",UPI,onetime,"",
11263,2018-05-13,717,"BSNL Telephone Bill","BSNL Telephone Bill","mobile-telephone","","Family",UPI,must,"",
11261,2018-05-14,5000,"Clothes for childrens","Clothes for childrens","clothes","","",UPI,must,"",
11262,2018-05-14,3600,"Vinutha monthly expenses","Vinutha monthly expenses","vinutha-monthly expense","","",UPI,must,"",
11258,2018-05-15,5000,"MILAAP","MILAAP","donation","","",UPI,onetime,"",
11259,2018-05-15,132,"Thatte idli","Thatte idli","food","","",UPI,must,"",
11260,2018-05-15,2000,"Parlor","Parlor","vinutha-expenses","","",UPI,must,"",
11257,2018-05-16,20000,"Withdrawn from Yes Bank","Withdrawn from Yes Bank","bnk-withdraw","","",UPI,onetime,"",
11256,2018-05-17,7759,"Birla Sunlife insurance premium","Birla Sunlife insurance premium","child-insurance","","",UPI,must,"",
11251,2018-05-21,25000,"Trip to Wayanad","Trip to Wayanad","Travel","wayanad","",UPI,onetime,"",
11252,2018-05-21,100,"Massage stick","Massage stick","Travel","wayanad","",UPI,onetime,"",
11253,2018-05-21,130,"Ear rings","Ear rings - vinutha","Travel","wayanad","",UPI,onetime,"",
11254,2018-05-21,2500,"MILAAP","MILAAP","donation","","",UPI,onetime,"",
11255,2018-05-21,800,"Lunch with Gooty","Lunch with Gooty","food","","",UPI,must,"",
11248,2018-05-22,350,"2 wheeler petrol","2 wheeler petrol","petrol-diesel","","",UPI,must,"",
11249,2018-05-22,380,"Soap","Soap - Fabindia","food","groceries","",UPI,must,"",
11250,2018-05-22,140,"Omlet+manchurian","Omlet+manchurian","food","","",UPI,must,"",
11245,2018-05-23,16939,"Self Family Health Insurance","Self Family Health Insurance - Star Health","health-insurance","","",UPI,onetime,"",
11246,2018-05-23,3053,"Hathway Quarterly Subscription","Hathway Quarterly Subscription","hathway","","",UPI,must,"",
11247,2018-05-23,430,"Bonda, Pomogranite, Apple","Bonda, Pomogranite, Apple","food","groceries","",UPI,must,"",
11240,2018-05-24,34365,"Parents Health Insurance","Parents Health Insurance - HDFC Ergo","health-insurance","","",UPI,onetime,"",
11241,2018-05-24,1000,"School uniform -Smitha","School uniform -Smitha","clothes","","",UPI,must,"",
11242,2018-05-24,300,"Doctor charge for Smitha","Doctor charge for Smitha","medical","doctor","Smitha",UPI,must,"",
11243,2018-05-24,210,"Smitha and Kishan Medicines","Smitha and Kishan Medicines","medical","medicines","Smitha",UPI,must,"",
11244,2018-05-24,270,"Mangoes","Mangoes - 3kg","food","groceries","",UPI,must,"",
11237,2018-05-26,500,"School uniform","School uniform - Kishan","clothes","","",UPI,must,"",
11238,2018-05-26,1903,"Nanjangud trip","Nanjangud trip","Travel","","",UPI,must,"",
11239,2018-05-26,2150,"Van Fees","Van Fees","Education","","",UPI,must,"",
11236,2018-05-28,150,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11235,2018-05-29,1000,"MILAAP","MILAAP","donation","","",UPI,onetime,"",
11234,2018-05-30,205,"Lunch","Lunch","food","","",UPI,must,"",
11232,2018-05-31,4600,"Vinutha monthly expenses","Vinutha monthly expenses - old exp balance -1000","vinutha-monthly expense","","",UPI,must,"",
11233,2018-05-31,1178,"Airtel Bill","Airtel Bill","mobile-telephone","","Family",UPI,must,"",
11230,2018-06-03,6000,"Bajaj Finance TV Loan","Bajaj Finance TV Loan","tvloan","","",UPI,must,"",
11231,2018-06-03,3324,"HDFC Health insurance","HDFC Health insurance - mother additonal premium","health-insurance","","",UPI,onetime,"",
11225,2018-06-04,10000,"Transfer to SBI Account","Transfer to SBI Account","sbi-transfer","","",UPI,onetime,"",
11226,2018-06-04,129990,"Income tax","Income tax - arears for Interest amount","income tax","","",UPI,onetime,"",
11227,2018-06-04,40,"Auto from 6th block to house","Auto from 6th block to house","Travel","","",UPI,must,"",
11228,2018-06-04,3375,"Mango Mist booking Advance","Mango Mist booking Advance","Travel","local","",UPI,must,"",
11229,2018-06-04,110,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11221,2018-06-05,181,"Mango Mist booking Advance","Mango Mist booking Advance","Travel","local","",UPI,must,"",
11222,2018-06-05,60,"Zip for Bags","Zip for Bags","house-repair","","Family",UPI,must,"",
11223,2018-06-05,550,"Cake, choclates, ice cream","Cake, choclates, ice cream","food","","",UPI,must,"",
11224,2018-06-05,30000,"Withdrawn from Yes Bank","Withdrawn from Yes Bank","bnk-withdraw","","",UPI,onetime,"",
11219,2018-06-06,28000,"House Monthly expenses","House Monthly expenses","house-monthly","","",UPI,must,"",
11220,2018-06-06,200,"Toll charges","Toll charges","Travel","","",UPI,must,"",
11218,2018-06-07,400,"Dinner","Dinner","food","","",UPI,must,"",
11213,2018-06-08,55,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11214,2018-06-08,235,"Juice, Manchuri","Juice, Manchuri","food","","",UPI,must,"",
11215,2018-06-08,2100,"White Blanket","White Blanket","house-items","","",UPI,onetime,"",
11216,2018-06-08,600,"ADS cream lotion and mask","ADS cream lotion and mask","house-items","","",UPI,onetime,"",
11217,2018-06-08,100,"Eye cold pack","Eye cold pack","house-items","","",UPI,onetime,"",
11210,2018-06-09,290,"Nachos+coke during film","Nachos+coke during film","food","","",UPI,nicetohave,"",
11211,2018-06-09,470,"movie tickets","movie tickets","Entertainment","movie","",UPI,nicetohave,"",
11212,2018-06-09,400,"Medicines","Medicines - Sugar, and gout","medical","medicines","Seenu",UPI,must,"",
11207,2018-06-10,50,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11208,2018-06-10,4263,"Tirupathi trip","Tirupathi trip","Travel","tirupathi","",UPI,onetime,"",
11209,2018-06-10,60,"Pani Puri","Pani Puri","food","","",UPI,must,"",
11206,2018-06-11,80,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11199,2018-06-13,7500,"Withdrawn from Yes Bank","Withdrawn from Yes Bank","bnk-withdraw","","",UPI,must,"",
11200,2018-06-13,60,"Aadhar card -laminate","Aadhar card -laminate","stationary","","Family",UPI,must,"",
11201,2018-06-13,70,"Chapal repair","Chapal repair","house-repair","","Family",UPI,must,"",
11202,2018-06-13,160,"Syrup for vinutha","Syrup for vinutha","medical","medicines","Vinutha",UPI,must,"",
11203,2018-06-13,500,"Fruits + biscuits, bun+ chips","Fruits + biscuits, bun+ chips","food","","",UPI,must,"",
11204,2018-06-13,50,"Auto","Auto","Travel","","",UPI,must,"",
11205,2018-06-13,200,"Metro card recharge for 2 cards","Metro card recharge for 2 cards","Travel","","",UPI,must,"",
11191,2018-06-14,40,"Mangapur tickets","Mangapur tickets","pooja","","",UPI,must,"",
11192,2018-06-14,10,"Restroom","Restroom","misc","","Family",UPI,must,"",
11193,2018-06-14,20,"Deposit for mobile phones","Deposit for mobile phones","Travel","","",UPI,must,"",
11194,2018-06-14,70,"Mango cuts, Juice","Mango cuts, Juice","food","","",UPI,must,"",
11195,2018-06-14,70,"Bhelpuri, water, ice cream","Bhelpuri, water, ice cream","food","","",UPI,must,"",
11196,2018-06-14,70,"Ice cream, moong","Ice cream, moong","food","","",UPI,must,"",
11197,2018-06-14,35,"Metro charge","Metro charge","Travel","","",UPI,must,"",
11198,2018-06-14,30,"Auto to house","Auto to house","Travel","","",UPI,must,"",
11188,2018-06-15,353,"Telephone bill","Telephone bill","mobile-telephone","","Family",UPI,must,"",
11189,2018-06-15,20,"Kishan Specs repair","Kishan Specs repair","spectacles","","Family",UPI,must,"",
11190,2018-06-15,50,"Vade, bonda","Vade, bonda","food","","",UPI,must,"",
11185,2018-06-16,392,"mushroom, cheeze, juice, mango etc","mushroom, cheeze, juice, mango etc","food","","",UPI,must,"",
11186,2018-06-16,30,"Eggs","Eggs","food","","",UPI,must,"",
11187,2018-06-16,210,"Jolladh roti+ kunda","Jolladh roti+ kunda","food","","",UPI,must,"",
11183,2018-06-17,115,"Lunch","Lunch - ganesh grand","food","","",UPI,must,"",
11184,2018-06-17,7785,"Birla Sunlife insurance premium","Birla Sunlife insurance premium","child-insurance","","",UPI,must,"",
11181,2018-06-18,1395,"Cake,choclates, paneer manchuri","Cake,choclates, paneer manchuri - Smitha Birthday","food","","",UPI,must,"",
11182,2018-06-18,80,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11180,2018-06-19,500,"Ramesh jois doctor","Ramesh jois doctor","medical","doctor","Seenu",UPI,must,"",
11177,2018-06-20,25,"Bread","Bread","food","","",UPI,must,"",
11178,2018-06-20,360,"two wheeler petrol","two wheeler petrol","petrol-diesel","","",UPI,must,"",
11179,2018-06-20,450,"Milaap","Milaap - Paytm","donation","","",UPI,onetime,"",
11175,2018-06-21,500,"Gift money","Gift money - prakasha","gift","","Family",UPI,must,"",
11176,2018-06-21,1500,"4 wheeler diesel","4 wheeler diesel","petrol-diesel","","",UPI,must,"",
11173,2018-06-22,246,"HPT fees  + xerox + broker","HPT fees  + xerox + broker","vehicle-expense","","",UPI,must,"",
11174,2018-06-22,1206,"Airtel Bill","Airtel Bill","mobile-telephone","","Family",UPI,must,"",
11171,2018-06-23,100,"Flowers","Flowers - baby showers","gift","","",UPI,must,"",
11172,2018-06-23,75,"Choclates","Choclates","food","","",UPI,must,"",
11169,2018-06-24,60,"Dosa","Dosa","food","","",UPI,must,"",
11170,2018-06-24,4,"Xerox","Xerox","stationary","","Family",UPI,must,"",
11165,2018-06-25,212,"Sugar Medicines, Gout","Sugar Medicines, Gout","medical","medicines","Seenu",UPI,must,"",
11166,2018-06-25,320,"Wood Thopda","Wood Thopda","tools","","",UPI,nicetohave,"",
11167,2018-06-25,480,"Sewing machine service","Sewing machine service","house-repair","","Family",UPI,must,"",
11168,2018-06-25,50,"Gini moti mango","Gini moti mango","food","","",UPI,must,"",
11163,2018-06-26,190,"Toll charges","Toll charges","Travel","","",UPI,must,"",
11164,2018-06-26,20,"Tea","Tea","food","","",UPI,must,"",
11161,2018-06-27,50,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11162,2018-06-27,260,"Bakery","Bakery - kodbele, bun etc","food","","",UPI,must,"",
11159,2018-06-30,250,"Butter, mushroom","Butter, mushroom","food","","",UPI,must,"",
11160,2018-06-30,100,"Gift","Gift - Vinutha relative wedding","gift","","",UPI,must,"",
11157,2018-07-01,70,"Cycle Repair, Auto","Cycle Repair, Auto","Travel","auto","Family",UPI,must,"",
11158,2018-07-01,3860,"Hafele","Hafele - burners + service charge","house-repair","gas","Family",UPI,must,"",
11154,2018-07-02,100,"Pooja items","Pooja items","pooja","","",UPI,must,"",
11155,2018-07-02,10000,"Monthly expenses","Monthly expenses - 3600 for monthly, remaining to be there in account","vinutha-monthly expense","","",UPI,must,"",
11156,2018-07-02,28000,"Monthly Expenses","Monthly Expenses","house-monthly","","",UPI,must,"",
11151,2018-07-03,90,"Toll charges","Toll charges","Travel","","",UPI,must,"",
11152,2018-07-03,40,"Tea","Tea","food","","",UPI,must,"",
11153,2018-07-03,11800,"Naukri resume + job posting","Naukri resume + job posting","professional","","",UPI,onetime,"",
11150,2018-07-04,70,"Auto","Auto - court and Metro","Travel","","",UPI,must,"",
11145,2018-07-05,255,"Bonda,Chips, cake et","Bonda,Chips, cake et","food","","",UPI,must,"",
11146,2018-07-05,97,"Medicines","Medicines - Ointment, saibol","medical","medicines","Kishan",UPI,must,"",
11147,2018-07-05,1875,"Magic bricks property posting service","Magic bricks property posting service","professional","","",UPI,onetime,"",
11148,2018-07-05,183,"Juice","Juice - navane for 3 days + powder","food","","",UPI,must,"",
11149,2018-07-05,6000,"TV Loan payment","TV Loan payment","tvloan","","",UPI,must,"",
11140,2018-07-07,260,"Breakfast","Breakfast - GP","food","","",UPI,must,"",
11141,2018-07-07,1830,"Fish","Fish","food","","",UPI,must,"",
11142,2018-07-07,142,"Beans+Basmati rice","Beans+Basmati rice","food","","",UPI,must,"",
11143,2018-07-07,310,"Manchuri","Manchuri","food","","",UPI,must,"",
11144,2018-07-07,480,"Cake","Cake","food","","",UPI,must,"",
11136,2018-07-08,1075,"Gift to parents","Gift to parents","gift","","",UPI,must,"",
11137,2018-07-08,300,"Chowchow, Chips, Puranpoli etc","Chowchow, Chips, Puranpoli etc","food","","",UPI,must,"",
11138,2018-07-08,300,"Petrol for 2 wheeler","Petrol for 2 wheeler","petrol-diesel","","",UPI,must,"",
11139,2018-07-08,40,"Banana","Banana","food","","",UPI,must,"",
11135,2018-07-09,2500,"Milaap","Milaap - school","donation","","",UPI,nicetohave,"",
11134,2018-07-10,100,"Shyamalaka","Shyamalaka","gift","","",UPI,must,"",
11132,2018-07-13,200,"Vinutha Expense","Vinutha Expense","vinutha-monthly expense","","",UPI,must,"",
11133,2018-07-13,100,"Puncture","Puncture","vehicle-expense","","",UPI,must,"",
11128,2018-07-14,21234,"Edureka Training course","Edureka Training course","professional","","",UPI,onetime,"",
11129,2018-07-14,1252,"Kishan Clothes, shoe","Kishan Clothes, shoe","clothes","","",UPI,must,"",
11130,2018-07-14,6500,"Cash withdrawn from Citibank","Cash withdrawn from Citibank","bnk-withdraw","","",UPI,must,"",
11131,2018-07-14,1370,"JP Nagar Club Dinner","JP Nagar Club Dinner","food","","",UPI,must,"",
11126,2018-07-15,200,"Doctor","Doctor","medical","doctor","Seenu",UPI,must,"",
11127,2018-07-15,120,"Anjur, Amla, Corn","Anjur, Amla, Corn","food","","",UPI,must,"",
11125,2018-07-16,95,"Masala Dosa","Masala Dosa","food","","",UPI,must,"",
11119,2018-07-17,7759,"Birla Sunlife insurance premium","Birla Sunlife insurance premium","child-insurance","","",UPI,must,"",
11120,2018-07-17,800,"Vinutha Clothes","Vinutha Clothes","clothes","","",UPI,must,"",
11121,2018-07-17,22799,"Mobile for self and mother","Mobile for self and mother","purchase","mobile","",UPI,onetime,"",
11122,2018-07-17,500,"Case for mobile","Case for mobile","purchase","mobile","",UPI,onetime,"",
11123,2018-07-17,380,"Shoes for Smitha","Shoes for Smitha","shoes","","",UPI,must,"",
11124,2018-07-17,160,"Chicken dry","Chicken dry","food","","",UPI,must,"",
11115,2018-07-19,80,"Medicines","Medicines","medical","medicines","Seenu",UPI,must,"",
11116,2018-07-19,190,"Masala poori, Bombay Salt, Bun, Rusk","Masala poori, Bombay Salt, Bun, Rusk","food","","",UPI,must,"",
11117,2018-07-19,65,"Eggs","Eggs","food","","",UPI,must,"",
11118,2018-07-19,130,"Fruits","Fruits - seethaphal, mango","food","","",UPI,must,"",
11114,2018-07-20,20,"Xerox","Xerox","stationary","","",UPI,must,"",
11113,2018-07-21,100,"GP pullav","GP pullav","food","","",UPI,must,"",
11111,2018-07-23,30,"Mangoes","Mangoes","food","","",UPI,must,"",
11112,2018-07-23,353,"Landline Phone bill","Landline Phone bill","mobile-telephone","","Family",UPI,must,"",
11110,2018-07-24,235,"Medicines","Medicines - gout, sugar","medical","medicines","Seenu",UPI,must,"",
11107,2018-07-25,3000,"Mamanya Outing","Mamanya Outing - 3 months","Travel","","",UPI,must,"",
11108,2018-07-25,50,"Sprouts","Sprouts","food","","",UPI,must,"",
11109,2018-07-25,25,"Idli","Idli","food","","",UPI,must,"",
11105,2018-07-27,376,"Travel to temple","Travel to temple - Vasantha Vallabhaswamy","Travel","","",UPI,must,"",
11106,2018-07-27,700,"Given to mother","Given to mother","house-monthly","","",UPI,must,"",
11104,2018-07-28,200,"Breakfast","Breakfast","food","","",UPI,must,"",
11103,2018-07-29,3000,"withdrawn from Citibank","withdrawn from Citibank","bnk-withdraw","","",UPI,must,"",
11102,2018-07-30,4600,"Eureka forbes water filter AMC for 3 years","Eureka forbes water filter AMC for 3 years","amc-waterfilter","","",UPI,must,"",
11100,2018-07-31,80,"Kishan medicines","Kishan medicines","medical","medicines","Kishan",UPI,must,"",
11101,2018-07-31,90,"Tender coconut","Tender coconut","food","","",UPI,must,"",
11093,2018-08-02,599,"OLA Cabs Ola Money","OLA Cabs Ola Money","Travel","","",UPI,must,"",
11094,2018-08-02,30000,"Withdrawn from Yes bank, citibank","Withdrawn from Yes bank, citibank","bnk-withdraw","","",UPI,must,"",
11095,2018-08-02,29000,"Monthly house expenses","Monthly house expenses","house-monthly","","",UPI,must,"",
11096,2018-08-02,230,"Bakery","Bakery - plum cake, chips, benne moruku","food","","",UPI,must,"",
11097,2018-08-02,20,"Metro","Metro","Travel","","",UPI,must,"",
11098,2018-08-02,50,"Powder -Nebsulf","Powder -Nebsulf","medical","medicines","Seenu",UPI,must,"",
11099,2018-08-02,50,"Peanut","Peanut","food","","",UPI,must,"",
11088,2018-08-03,1201,"Airtel Bill","Airtel Bill","mobile-telephone","","Family",UPI,must,"",
11089,2018-08-03,500,"To Smitha","To Smitha","gift","","",UPI,must,"",
11090,2018-08-03,220,"Sugar, uric acid test","Sugar, uric acid test","medical","tests","Seenu",UPI,must,"",
11091,2018-08-03,300,"two wheeler petrol","two wheeler petrol","petrol-diesel","","",UPI,must,"",
11092,2018-08-03,775,"Sugar test strips","Sugar test strips","medical","medicines","Seenu",UPI,must,"",
11087,2018-08-04,200,"Breakfast","Breakfast","food","","",UPI,must,"",
11086,2018-08-05,6000,"Bajaj Finance TV Loan","Bajaj Finance TV Loan","tvloan","","",UPI,must,"",
11084,2018-08-06,150,"Dosa, idli","Dosa, idli","food","","",UPI,must,"",
11085,2018-08-06,17,"Bus","Bus","Travel","","",UPI,must,"",
11083,2018-08-07,490,"Chicken","Chicken","food","","",UPI,must,"",
11080,2018-08-08,135,"Toll charges","Toll charges - Rajneesh home","Travel","","",UPI,must,"",
11081,2018-08-08,1000,"Diesel","Diesel - I20","petrol-diesel","","",UPI,must,"",
11082,2018-08-08,260,"Choclates for kids","Choclates for kids","food","","",UPI,must,"",
11078,2018-08-09,20,"Tea","Tea","food","","",UPI,must,"",
11079,2018-08-09,2700,"KBA Lunch","KBA Lunch","food","","",UPI,must,"",
11072,2018-08-10,100,"Smitha Art activity","Smitha Art activity","kids","","",UPI,must,"",
11073,2018-08-10,55,"Choclates for smitha friends","Choclates for smitha friends","food","","",UPI,must,"",
11074,2018-08-10,60,"Breakfast","Breakfast","food","","",UPI,must,"",
11075,2018-08-10,60,"Manchuri","Manchuri - kishan school","food","","",UPI,must,"",
11076,2018-08-10,40,"Bonda","Bonda","food","","",UPI,must,"",
11077,2018-08-10,500,"milaap donation","milaap donation","gift","","",UPI,must,"",
11071,2018-08-12,146,"Mr Muscle, moong daal","Mr Muscle, moong daal","food","","",UPI,must,"",
11070,2018-08-14,230,"Breakfast for all","Breakfast for all - set dosa","food","","",UPI,must,"",
11067,2018-08-16,1000,"Gate Cladding","Gate Cladding - Adv","house-repair","","",UPI,onetime,"",
11068,2018-08-16,2500,"Milaap","Milaap","donation","","",UPI,onetime,"",
11069,2018-08-16,1925,"Dry Fruits","Dry Fruits - Manek Mawa","food","","",UPI,must,"",
11064,2018-08-17,65,"Manchuri","Manchuri - Smitha School","food","","",UPI,must,"",
11065,2018-08-17,1800,"Gate Cladding","Gate Cladding - Paid to Bhaskar","house-repair","","",UPI,onetime,"",
11066,2018-08-17,3600,"Vinutha Monthly expenses","Vinutha Monthly expenses","vinutha-monthly expense","","",UPI,must,"",
11058,2018-08-18,7758,"Birla Sunlife insurance premium","Birla Sunlife insurance premium","child-insurance","","",UPI,must,"",
11059,2018-08-18,1000,"Diesel","Diesel - I20","petrol-diesel","","",UPI,must,"",
11060,2018-08-18,120,"Sugar Medicines","Sugar Medicines","medical","medicines","Seenu",UPI,must,"",
11061,2018-08-18,50,"Bhel Puri","Bhel Puri","food","","",UPI,must,"",
11062,2018-08-18,650,"Paid to Carpenter + door stopper + fevibond","Paid to Carpenter + door stopper + fevibond","house-repair","","",UPI,onetime,"",
11063,2018-08-18,300,"Amount to Temple people","Amount to Temple people","donation","temple","Family",UPI,onetime,"",
11057,2018-08-19,2000,"Transferred to Sudheesh for Kerala relief","Transferred to Sudheesh for Kerala relief","donation","","",UPI,onetime,"",
11056,2018-08-20,900,"Glade Cladding Paint remaining amt","Glade Cladding Paint remaining amt","house-repair","","",UPI,onetime,"",
11055,2018-08-21,75,"Masala Puri, Paani Poori","Masala Puri, Paani Poori","food","","",UPI,must,"",
11053,2018-08-22,900,"Fruits, Vegetables etc","Fruits, Vegetables etc","festival","","",UPI,must,"",
11054,2018-08-22,100,"Petrol for 2 wheeler","Petrol for 2 wheeler","petrol-diesel","","",UPI,must,"",
11051,2018-08-23,25,"Hanging Clips+fevi kwik","Hanging Clips+fevi kwik","festival","","",UPI,must,"",
11052,2018-08-23,364,"BSNL Telephone Bill","BSNL Telephone Bill","mobile-telephone","","Family",UPI,must,"",
11049,2018-08-24,75,"Breakfast","Breakfast","food","","",UPI,must,"",
11050,2018-08-24,340,"Rakhi, Choclates & pani poori","Rakhi, Choclates & pani poori","festival","","",UPI,must,"",
11047,2018-08-25,750,"Rakhi Amount","Rakhi Amount","festival","","",UPI,must,"",
11048,2018-08-25,2000,"Saree Amount for Varamahalakshmi","Saree Amount for Varamahalakshmi","festival","","",UPI,must,"",
11042,2018-08-26,2660,"Bus tickets to tirupathi for 4 of us","Bus tickets to tirupathi for 4 of us","Travel","","",UPI,onetime,"",
11043,2018-08-26,3054,"Hathway Quarterly Subscription","Hathway Quarterly Subscription","hathway","","",UPI,must,"",
11044,2018-08-26,200,"Metro card recharge for 1 card","Metro card recharge for 1 card","Travel","","",UPI,must,"",
11045,2018-08-26,220,"Cutting and dyeing","Cutting and dyeing","haircut","","",UPI,must,"",
11046,2018-08-26,172,"Kishan nose check up and iontment/medicines","Kishan nose check up and iontment/medicines","medical","doctor","Kishan",UPI,must,"",
11040,2018-08-27,180,"Kishan underwear","Kishan underwear","clothes","","",UPI,must,"",
11041,2018-08-27,500,"Smitha shoes","Smitha shoes","shoes","","",UPI,must,"",
11037,2018-08-28,384,"Choclates etc","Choclates etc","food","","",UPI,onetime,"",
11038,2018-08-28,2000,"Given to mother for expenses","Given to mother for expenses","house-monthly","","",UPI,must,"",
11039,2018-08-28,4000,"Given to father for expenses partial","Given to father for expenses partial","house-monthly","","",UPI,must,"",
11032,2018-08-29,70,"Auto","Auto","Travel","","",UPI,must,"",
11033,2018-08-29,220,"Tirumala bus travel","Tirumala bus travel","Travel","","",UPI,onetime,"",
11034,2018-08-29,100,"Cab","Cab","Travel","","",UPI,onetime,"",
11035,2018-08-29,20,"Bhel Puri","Bhel Puri","food","","",UPI,must,"",
11036,2018-08-29,30,"Water bottle","Water bottle","food","","",UPI,must,"",
11030,2018-08-30,120,"Auto to home","Auto to home","Travel","","",UPI,must,"",
11031,2018-08-30,250,"Manchuri, noodles","Manchuri, noodles","food","","",UPI,must,"",
11024,2018-08-31,1500,"Diesel","Diesel - I20","petrol-diesel","","",UPI,onetime,"",
11025,2018-08-31,120,"Coconut water","Coconut water","food","","",UPI,must,"",
11026,2018-08-31,50,"Dosa","Dosa","food","","",UPI,must,"",
11027,2018-08-31,1000,"NP","NP","misc","","",UPI,onetime,"",
11028,2018-08-31,200,"MysorePak","MysorePak","food","","",UPI,must,"",
11029,2018-08-31,13300,"Pooja Mantap","Pooja Mantap","pooja","","",UPI,onetime,"",
11023,2018-09-02,130,"raghavendra hotel meals","raghavendra hotel meals","food","","",UPI,must,"",
11018,2018-09-03,40,"Sugarcane juice","Sugarcane juice","food","","",UPI,must,"",
11019,2018-09-03,25500,"House Monthly expenses","House Monthly expenses","house-monthly","","",UPI,must,"",
11020,2018-09-03,2000,"Paid to Father for remaining expenses","Paid to Father for remaining expenses","house-monthly","","",UPI,must,"",
11021,2018-09-03,1000,"Mamanya Outing","Mamanya Outing - Sept","Travel","","",UPI,must,"",
11022,2018-09-03,1000,"Rakhi -sisters gift","Rakhi -sisters gift","festival","","",UPI,must,"",
11017,2018-09-04,6000,"TV Loan payment","TV Loan payment","tvloan","","",UPI,must,"",
11016,2018-09-06,8000,"Satya narayan pooja","Satya narayan pooja","pooja","","",UPI,onetime,"",
11014,2018-09-07,82500,"Schools Fees for Kishan, Smitha","Schools Fees for Kishan, Smitha","Education","","",UPI,onetime,"",
11015,2018-09-07,55,"Breakfast","Breakfast","food","","",UPI,must,"",
